book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
2_B_R_0_2_B.txt,2677,523,19.54,10.36,1.39,4.84
Anne_of_Green_Gables.txt,104329,21124,20.25,14.8,1.36,6.2
Anthem.txt,19300,4519,23.41,15.4,1.23,4.98
As_a_man_thinketh.txt,7597,1789,23.55,26.56,1.51,12.58
A_Complete_Guide_to_Heraldry.txt,272785,58324,21.38,26.44,1.49,12.3
A_Portrait_of_the_Artist_as.txt,84912,18109,21.33,17.21,1.34,6.99
A_Room_with_a_View.txt,68578,13316,19.42,11.89,1.39,5.48
A_Study_in_Scarlet.txt,44320,9440,21.3,16.44,1.37,6.99
Cyrano_de_Bergerac.txt,35398,6424,18.15,9.27,1.37,4.21
De_Profundis.txt,17823,3854,21.62,23.5,1.36,9.57
Dubliners.txt,68870,14228,20.66,14.89,1.35,6.18
English_Fairy_Tales.txt,376,68,18.09,33.6,1.72,17.81
Ethan_Frome.txt,35251,7097,20.13,19.64,1.31,7.49
Fifteen_Thousand_Useful_Phrases.txt,3999,630,15.75,142.81,1.73,60.54
Heart_of_Darkness.txt,38352,7843,20.45,16.43,1.38,7.15
History_of_Ancient_Pottery_Greek_Etruscan.txt,234162,38471,16.43,12.2,1.47,6.55
Howards_End.txt,609,106,17.41,47.56,1.65,22.48
How_to_Live_on_24_Hours.txt,12995,2979,22.92,18.57,1.45,8.79
How_We_Think.txt,65328,16869,25.82,25.47,1.67,14.11
Just_so_stories.txt,29567,4862,16.44,18.56,1.28,6.73
Little_Brother.txt,123616,27473,22.22,13.9,1.37,5.94
Metamorphosis.txt,22012,5429,24.66,27.46,1.34,10.97
Moby_Multiple_Language_Lists_of_Common.txt,445,144,32.36,17.54,1.58,9.89
Mrs_Dalloway.txt,63994,14982,23.41,17.74,1.39,7.68
Myths_of_the_Cherokee_Extract_from.txt,302726,76064,25.13,24.32,1.48,11.31
Omens_and_Superstitions_of_Southern_India.txt,95936,21446,22.35,22.96,1.43,10.2
Peter_Pan_b_Peter_and_Wendy.txt,48726,9889,20.3,15.38,1.3,5.73
Plays.txt,59847,11411,19.07,10.79,1.33,4.35
Poems_with_The_Ballad_of_Reading.txt,37747,6947,18.4,31.8,1.28,11.93
Project_Gutenberg_Compilation_of_Short_Stories.txt,954098,195224,20.46,16.12,1.35,6.63
Pygmalion.txt,33574,6476,19.29,12.21,1.41,5.8
Riders_to_the_Sea.txt,8248,1866,22.62,17.68,1.45,8.37
Right_Ho_Jeeves.txt,76387,14296,18.72,13.22,1.34,5.4
Rizals_own_story_of_his_life.txt,12978,3049,23.49,13.25,1.44,6.55
RUR_Rossums_Universal_Robots_A_Fantastic.txt,22214,4573,20.59,8.28,1.43,4.56
Siddhartha.txt,39530,8522,21.56,21.54,1.36,8.81
Southern_Horrors_Lynch_Law_in_All.txt,9752,2380,24.41,21.53,1.49,10.36
Spoon_River_Anthology.txt,3908,416,10.64,80.83,1.47,33.32
Studies_in_the_Psychology_of_Sex.txt,140656,34447,24.49,25.27,1.63,13.49
The_Adventures_of_Sherlock_Holmes.txt,107235,22485,20.97,16.01,1.33,6.4
The_Blue_Castle_a_novel.txt,69585,13497,19.4,11.94,1.39,5.47
The_call_of_the_wild.txt,31981,6259,19.57,19.08,1.32,7.44
The_Canterville_Ghost.txt,11749,2618,22.28,24.47,1.41,10.54
The_Elementary_Forms_of_the_Religious.txt,221785,50270,22.67,22.44,1.55,11.42
The_Elements_of_Style.txt,14031,3492,24.89,16.87,1.57,9.48
The_eleventh_hour_in_the_life.txt,9762,2324,23.81,22.0,1.4,9.45
The_Enchanted_April.txt,79169,16778,21.19,15.64,1.41,7.09
The_Extraordinary_Adventures_of_Arsene_Lupin.txt,55433,11802,21.29,13.57,1.43,6.58
The_First_Book_of_Adam_and.txt,34920,6427,18.4,22.55,1.25,7.93
The_Game_of_Rat_and_Dragon.txt,5703,1324,23.22,14.7,1.39,6.52
The_Garden_Party_and_Other_Stories.txt,58715,11434,19.47,11.45,1.31,4.37
The_Gift_of_the_Magi.txt,2095,399,19.05,12.83,1.33,5.15
The_Great_Gatsby.txt,49584,10300,20.77,15.0,1.38,6.56
The_Happy_Prince_and_Other_Tales.txt,16864,3379,20.04,16.73,1.29,6.16
The_Hound_of_the_Baskervilles.txt,60648,12735,21.0,15.7,1.34,6.31
The_Importance_of_Being_Earnest_A.txt,20633,4051,19.63,10.34,1.45,5.61
The_Invisible_Man_A_Grotesque_Romance.txt,49638,10008,20.16,13.4,1.38,5.97
The_island_of_Doctor_Moreau.txt,44291,8897,20.09,15.63,1.37,6.69
The_Jewish_State.txt,42937,11242,26.18,19.13,1.59,10.66
The_Jungle.txt,150603,32113,21.32,23.6,1.34,9.46
The_Jungle_Book.txt,51913,9711,18.71,17.7,1.24,5.99
The_Junior_Classics_Volume_1_Fairy.txt,2461,310,12.6,49.48,1.38,20.01
The_King_in_Yellow.txt,73509,14530,19.77,16.55,1.35,6.8
The_Lady_with_the_Dog_and.txt,72261,14408,19.94,16.71,1.36,7.01
The_Letters_of_Franklin_K_Lane.txt,141732,32040,22.61,18.59,1.44,8.61
The_Man_Who_Was_Thursday_A.txt,59519,12498,21.0,16.56,1.38,7.15
The_Memoirs_of_Sherlock_Holmes.txt,97678,20645,21.14,16.55,1.34,6.68
The_Monkeys_Paw_The_Lady_of.txt,4111,814,19.8,13.31,1.33,5.32
The_murder_of_Roger_Ackroyd.txt,73482,14365,19.55,10.46,1.37,4.65
The_Mysterious_Affair_at_Styles.txt,58692,11214,19.11,11.16,1.39,5.17
The_Phantom_of_the_Opera.txt,85742,18649,21.75,14.43,1.36,6.03
The_Philippines_a_Century_Hence.txt,15896,3817,24.01,30.22,1.57,14.76
The_Philosophy_of_Auguste_Comte.txt,110017,26748,24.31,20.23,1.69,12.24
The_Picture_of_Dorian_Gray.txt,80508,16267,20.21,12.65,1.35,5.25
The_Problems_of_Philosophy.txt,42850,10493,24.49,27.82,1.52,13.19
The_Prophet.txt,12645,2630,20.8,18.95,1.26,6.63
The_Pursuit_of_God.txt,29372,6706,22.83,19.46,1.41,8.59
The_Railway_Children.txt,66845,13394,20.04,14.28,1.31,5.44
The_Red_Badge_of_Courage_An.txt,46576,9721,20.87,13.25,1.37,5.78
The_Red_Record_Tabulated_Statistics_and.txt,34513,8748,25.35,21.41,1.47,10.07
The_Reign_of_Greed.txt,116953,25054,21.42,21.15,1.47,9.99
The_Return_of_Sherlock_Holmes.txt,114551,24449,21.34,14.75,1.35,6.07
The_Roll_of_Honour_Volume_1.txt,842577,164838,19.56,10.84,1.45,5.78
The_Sea_Gull.txt,22097,4539,20.54,12.92,1.38,5.75
The_Sign_of_the_Four.txt,44082,9222,20.92,14.96,1.33,5.93
The_Social_Cancer_A_Complete_English.txt,178274,38633,21.67,18.99,1.44,8.78
The_Souls_of_Black_Folk.txt,69319,16624,23.98,25.99,1.47,11.87
The_Story_of_a_Life.txt,96216,22252,23.13,17.6,1.43,8.13
The_Tale_of_Peter_Rabbit.txt,1018,217,21.32,15.8,1.43,7.45
The_Time_Machine.txt,32645,7130,21.84,17.07,1.4,7.64
The_War_of_the_Worlds.txt,60422,13809,22.85,18.81,1.41,8.34
The_Wind_in_the_Willows.txt,59461,11413,19.19,19.22,1.34,7.73
The_Wonderful_Wizard_of_Oz.txt,40718,8481,20.83,18.42,1.26,6.44
The_Yellow_Wallpaper.txt,6125,1235,20.16,15.6,1.29,5.73
Three_men_in_a_boat_to.txt,67638,14178,20.96,19.66,1.32,7.62
Ulysses.txt,267753,53481,19.97,13.04,1.4,6.06
Up_from_Slavery_An_Autobiography.txt,76990,19574,25.42,24.72,1.43,10.87
We.txt,64398,14925,23.18,13.97,1.4,6.33
